service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
HFD_8-24-251:1,1,1,1,1,1,0,0,20250824,20260110
HFD_8-24-251:2,0,0,0,0,0,1,0,20250824,20260110
HFD_8-24-251:3,0,0,0,0,0,0,1,20250824,20260110
HFD_8-24-251:4,0,0,0,0,0,0,0,20250824,20260110
NBT_8-24-251:14,1,1,1,1,1,0,0,20250824,20260829
NBT_8-24-251:15,0,0,0,0,0,1,0,20250824,20260829
NBT_8-24-251:16,0,0,0,0,0,0,1,20250824,20260829
NBT_8-24-251:17,0,0,0,0,0,0,0,20250824,20260829
NH_8-24-251:6,1,1,1,1,1,0,0,20250824,20260110
NH_8-24-251:7,0,0,0,0,0,1,0,20250824,20260110
NH_8-24-251:8,0,0,0,0,0,0,1,20250824,20260110
NH_8-24-251:9,0,0,0,0,0,0,0,20250824,20260110
DAT_8-24-251:45,1,1,1,1,1,0,0,20250824,20260829
DAT_8-24-251:46,0,0,0,0,0,1,0,20250824,20260829
DAT_8-24-251:47,0,0,0,0,0,0,1,20250824,20260829
DAT_8-24-251:48,0,0,0,0,0,0,0,20250824,20260829
STM_8-24-251:10,1,1,1,1,1,0,0,20250824,20260110
STM_8-24-251:11,0,0,0,0,0,1,0,20250824,20260110
STM_8-24-251:12,0,0,0,0,0,0,1,20250824,20260110
STM_8-24-251:13,0,0,0,0,0,0,0,20250824,20260110
WAT_8-24-251:22,1,1,1,1,1,0,0,20250824,20260829
WAT_8-24-251:23,0,0,0,0,0,1,0,20250824,20260829
WAT_8-24-251:24,0,0,0,0,0,0,1,20250824,20260829
WAT_8-24-251:25,0,0,0,0,0,0,0,20250824,20260829
WAT_8-24-251:31,0,0,0,0,0,0,0,20250824,20260829
CTDOT_8-24-251:18,1,1,1,1,1,0,0,20250824,20260829
CTDOT_8-24-251:26,0,0,0,0,0,0,0,20250824,20260829
CTDOT_8-24-251:35,0,0,0,0,0,1,0,20250824,20260829
CTDOT_8-24-251:36,0,0,0,0,0,0,1,20250824,20260829
CTDOT_8-24-251:14918,0,0,0,0,0,0,0,20250824,20260829
