service_id,date,exception_type
HFD_8-24-251:4,20250901,1
HFD_8-24-251:1,20250901,2
HFD_8-24-251:4,20251127,1
HFD_8-24-251:1,20251127,2
HFD_8-24-251:4,20251225,1
HFD_8-24-251:1,20251225,2
HFD_8-24-251:4,20260101,1
HFD_8-24-251:1,20260101,2
NBT_8-24-251:17,20250901,1
NBT_8-24-251:14,20250901,2
NBT_8-24-251:17,20251127,1
NBT_8-24-251:14,20251127,2
NBT_8-24-251:17,20251225,1
NBT_8-24-251:14,20251225,2
NBT_8-24-251:17,20260101,1
NBT_8-24-251:14,20260101,2
NH_8-24-251:9,20250901,1
NH_8-24-251:6,20250901,2
NH_8-24-251:9,20251127,1
NH_8-24-251:6,20251127,2
NH_8-24-251:9,20251225,1
NH_8-24-251:6,20251225,2
NH_8-24-251:9,20260101,1
NH_8-24-251:6,20260101,2
DAT_8-24-251:48,20250901,1
DAT_8-24-251:45,20250901,2
DAT_8-24-251:48,20251127,1
DAT_8-24-251:45,20251127,2
DAT_8-24-251:48,20251225,1
DAT_8-24-251:45,20251225,2
DAT_8-24-251:48,20260101,1
DAT_8-24-251:45,20260101,2
STM_8-24-251:13,20250901,1
STM_8-24-251:10,20250901,2
STM_8-24-251:13,20251127,1
STM_8-24-251:10,20251127,2
STM_8-24-251:13,20251225,1
STM_8-24-251:10,20251225,2
STM_8-24-251:13,20260101,1
STM_8-24-251:10,20260101,2
WAT_8-24-251:25,20250901,1
WAT_8-24-251:22,20250901,2
WAT_8-24-251:25,20251127,1
WAT_8-24-251:22,20251127,2
WAT_8-24-251:25,20251225,1
WAT_8-24-251:22,20251225,2
WAT_8-24-251:25,20260101,1
WAT_8-24-251:22,20260101,2
CTDOT_8-24-251:14918,20250829,1
CTDOT_8-24-251:26,20250901,1
CTDOT_8-24-251:18,20250901,2
CTDOT_8-24-251:14918,20250905,1
CTDOT_8-24-251:14918,20250912,1
CTDOT_8-24-251:14918,20250919,1
CTDOT_8-24-251:14918,20250926,1
CTDOT_8-24-251:14918,20251003,1
CTDOT_8-24-251:14918,20251010,1
CTDOT_8-24-251:14918,20251017,1
CTDOT_8-24-251:14918,20251024,1
CTDOT_8-24-251:14918,20251031,1
CTDOT_8-24-251:14918,20251107,1
CTDOT_8-24-251:14918,20251114,1
CTDOT_8-24-251:14918,20251121,1
CTDOT_8-24-251:26,20251127,1
CTDOT_8-24-251:18,20251127,2
CTDOT_8-24-251:14918,20251205,1
CTDOT_8-24-251:14918,20251212,1
CTDOT_8-24-251:26,20251225,1
CTDOT_8-24-251:18,20251225,2
CTDOT_8-24-251:26,20260101,1
CTDOT_8-24-251:18,20260101,2
CTDOT_8-24-251:14918,20260123,1
CTDOT_8-24-251:14918,20260130,1
CTDOT_8-24-251:14918,20260206,1
CTDOT_8-24-251:14918,20260213,1
CTDOT_8-24-251:14918,20260220,1
CTDOT_8-24-251:14918,20260227,1
CTDOT_8-24-251:14918,20260306,1
CTDOT_8-24-251:14918,20260313,1
CTDOT_8-24-251:14918,20260327,1
CTDOT_8-24-251:14918,20260403,1
CTDOT_8-24-251:14918,20260410,1
CTDOT_8-24-251:14918,20260417,1
CTDOT_8-24-251:14918,20260424,1
CTDOT_8-24-251:14918,20260501,1
CTDOT_8-24-251:14918,20260508,1
