route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15340,1,101,HARTFORD/NEW BRITAIN,,3,,FF0000,FFFFFF
15342,1,102,HARTFORD/NEW BRITAIN/BRISTOL,,3,,00E100,FFFFFF
15343,1,121,CT STATE/HARTFORD/UCONN HEALTH,,3,,0000FF,FFFFFF
15344,1,125,HARTFORD/BERLIN TPKE,,3,,008080,FFFFFF
15345,1,128,HARTFORD/WESTFARMS/NEW BRITAIN,,3,,950095,FFFFFF
15346,1,144,WETHERSFIELD/WESTFARMS,,3,,804040,FFFFFF
15347,1,153,FLATBUSH/COPACO,,3,,000000,FFFFFF
15348,1,161,HOSPITAL CONNECTOR,,3,,8000FF,FFFFFF
15349,1,24,WINDSOR LOCKS/BRADLEY INT'L AIRPORT,,3,,008080,FFFFFF
15350,1,30,BRADLEY FLYER,,3,,000080,FFFFFF
15351,1,31,PARK ST,,3,,0000FF,FFFFFF
15352,1,32,WINDSOR AVE,,3,,FF8040,FFFFFF
15353,1,33,PARK ST,,3,,0000FF,FFFFFF
15354,1,34,KENNEDY RD,,3,,0000FF,FFFFFF
15355,1,36,DAY HILL RD,,3,,4AA5FF,FFFFFF
15356,1,37,NEW BRITAIN AVE,,3,,0000FF,FFFFFF
15357,1,38,WESTON ST,,3,,0000FF,FFFFFF
15358,1,39,NEW BRITAIN AVE,,3,,8000FF,FFFFFF
15359,1,40,NORTH MAIN ST,,3,,CD1BA0,FFFFFF
15361,1,42,BARBOUR ST,,3,,CD1BA0,FFFFFF
15362,1,43,CAMPFIELD AVE,,3,,6B52AD,FFFFFF
15363,1,44,GARDEN ST,,3,,0064AE,FFFFFF
15364,1,46,VINE ST,,3,,8000FF,FFFFFF
15365,1,47,FRANKLIN AVE,,3,,000080,FFFFFF
15366,1,50,BLUE HILLS AVE,,3,,000000,FFFFFF
15367,1,52,BLUE HILLS AVE,,3,,000000,FFFFFF
15368,1,53,WETHERSFIELD AVE,,3,,0000FF,FFFFFF
15369,1,54,BLUE HILLS AVE,,3,,FF8000,FFFFFF
15370,1,55,HARTFORD/MIDDLETOWN,,3,,0000FF,FFFFFF
15371,1,56,BLOOMFIELD AVE,,3,,000000,FFFFFF
15372,1,58,ALBANY AVE,,3,,35588C,FFFFFF
15373,1,59,LOCUST ST,,3,,BE4193,FFFFFF
15374,1,60,FARMINGTON AVE,,3,,000080,FFFFFF
15375,1,61,BROAD ST,,3,,0000FF,FFFFFF
15376,1,62,FARMINGTON AVE-NORTH MAIN ST,,3,,808000,FFFFFF
15377,1,63,HILLSIDE AVE,,3,,0000FF,FFFFFF
15378,1,64,FARMINGTON AVE-SOUTH MAIN ST,,3,,008000,FFFFFF
15379,1,66,FARMINGTON AVE-UCONN HEALTH,,3,,800080,FFFFFF
15380,1,69,CAPITOL AVE,,3,,004080,FFFFFF
15381,1,72,ASYLUM AVE,,3,,000080,FFFFFF
