stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,MAITRAN,Main St @ Atheneum Sq,41.76479,-72.67355,,,,,,0
2,CAPFLOW,Capitol Ave @ Flower St,41.763908,-72.687709,,,,,,0
3,HILNEWS,Hillside Ave @ New Britain Ave,41.739189,-72.697386,,,,,,0
4,MARCONN,Market St @ Kinsley St,41.766588,-72.671143,,,,,,0
7,PITMAIE,Pitkin St @ Main St,41.763697,-72.647247,,,,,,0
9,HILNEWN,Hillside Ave @ New Britain Ave,41.739832,-72.697264,,,,,,0
10,CAPBROE,Capitol Ave @ Broad St,41.763657,-72.687152,,,,,,0
19,PITMAINW,Pitkin St @ Main St,41.763876,-72.647441,,,,,,0
22,FERNORW,Fern St @ N Main St,41.76931,-72.742932,,,,,,0
23,FERMOUW,Fern St @ Mountain Rd,41.765649,-72.76421,,,,,,0
24,NMASTARS,N Main St @ Starkel Rd,41.78809,-72.747684,,,,,,0
25,METLIFN,Cigna Campus Way @ Met Life,41.808538,-72.745563,,,,,,0
26,FARWOOE,Farmington Ave @ Opp Woodland St,41.767203,-72.702761,,,,,,0
27,MAIPEAS,Main St @ Pearl St,41.765357,-72.673605,,,,,,0
28,MAISAVN,Main St @ Save A Lot,41.770402,-72.642953,,,,,,0
30,ROBHILE,Roberts St @ Hillside St,41.769792,-72.617949,,,,,,0
33,CROWTRV,Central Row South Side @ Travelers,41.765633,-72.672223,,,,,,0
35,ROBHILW,Roberts St @ Hillside St,41.769944,-72.617985,,,,,,0
36,BURWILW,Burnside Ave @ William St,41.779608,-72.608589,,,,,,0
37,CONMAIW,Connecticut Blvd @ Main St,41.769529,-72.644519,,,,,,0
40,CONMARS,Constance Leigh Dr @ Market Sq,41.697233,-72.719249,,,,,,0
44,CONMARN,Constance Leigh Dr @ Opp Market Sq,41.697483,-72.719055,,,,,,0
49,CTTRANN,CTtransit @ Administration Building,41.784212,-72.656719,,,,,,0
52,REVSAVS,Weston St @ Savitt Way,41.78257,-72.665799,,,,,,0
53,MAIGOLS,Main St @ Gold St,41.764276,-72.673946,,,,,,0
